Date,User,Kind,Max Mode,Model,Tokens,Cost ($)
"2025-08-25T17:46:17.629Z","You","Included in Pro","No","claude-4-sonnet",74255,"Included"
"2025-08-25T17:36:44.902Z","You","Included in Pro","No","claude-4-sonnet",1478828,"Included"
"2025-08-25T17:30:22.431Z","You","Included in Pro","No","claude-4-sonnet",258279,"Included"
"2025-08-25T17:25:43.864Z","You","Included in Pro","No","claude-4-sonnet",1791680,"Included"
"2025-08-25T17:17:15.422Z","You","Included in Pro","No","claude-4-sonnet",1353803,"Included"
"2025-08-25T17:06:11.506Z","You","Included in Pro","No","claude-4-sonnet",883806,"Included"
"2025-08-25T17:03:28.181Z","You","Included in Pro","No","claude-4-sonnet",145317,"Included"
"2025-08-25T17:02:22.317Z","You","Included in Pro","No","claude-4-sonnet",717515,"Included"
"2025-08-25T16:58:55.092Z","You","Included in Pro","No","claude-4-sonnet",282800,"Included"
"2025-08-25T16:53:25.283Z","You","Included in Pro","No","claude-4-sonnet",2732824,"Included"
"2025-08-25T16:48:46.879Z","You","Included in Pro","No","claude-4-sonnet",1546707,"Included"
"2025-08-25T16:38:23.625Z","You","Included in Pro","No","claude-4-sonnet",3285341,"Included"
"2025-08-25T16:26:48.297Z","You","Included in Pro","No","claude-4-sonnet",1961375,"Included"
"2025-08-25T16:20:29.964Z","You","Included in Pro","No","claude-4-sonnet",1436116,"Included"
"2025-08-25T16:12:19.469Z","You","Included in Pro","No","claude-4-sonnet",4555891,"Included"
"2025-08-25T16:10:07.105Z","You","Included in Pro","No","claude-4-sonnet",1597022,"Included"
"2025-08-25T15:48:39.739Z","You","Included in Pro","No","claude-4-sonnet",411283,"Included"
"2025-08-25T14:57:35.113Z","You","Included in Pro","No","claude-4-sonnet",2242371,"Included"
"2025-08-25T08:04:02.039Z","You","Included in Pro","No","claude-4-sonnet",511239,"Included"
"2025-08-25T07:57:12.157Z","You","Included in Pro","No","claude-4-sonnet",3260386,"Included"
"2025-08-25T07:51:04.314Z","You","Included in Pro","No","claude-4-sonnet",1546872,"Included"
"2025-08-25T07:46:36.545Z","You","Included in Pro","No","claude-4-sonnet",1803784,"Included"
"2025-08-25T07:38:17.165Z","You","Included in Pro","No","claude-4-sonnet",1081508,"Included"
"2025-08-25T07:31:19.742Z","You","Included in Pro","No","claude-4-sonnet",1232182,"Included"
"2025-08-25T07:26:40.275Z","You","Included in Pro","No","claude-4-sonnet",1401964,"Included"
